ad_id,origin,condition,car_model,mileage,exterior_color,interior_color,num_of_doors,seating_capacity,fuel_system,transmission,drive_type,fuel_consumption,brand,grade,year_of_manufacture,car_name,price,type_of_engine,engine_capacity,normalised_mileage,normalised_engine_capacity,normalised_num_of_doors,normalised_seating_capacity,normalised_fuel_consumption,normalised_price
4583493,domestic assembly,new car,4x4,0,white,black,4,5,direct spray,automatic,4wd - four-wheel drive (4wd),7.0,ford,ranger,2023.0,Ford Ranger XLT 2.0L 4x4 AT 2023,33603.31369,diesel,2.2,0.0,0.58,0.33,0.21,0.5,0.83
4583562,domestic assembly,new car,4x4,0,black,black,4,5,direct spray,automatic,4wd - four-wheel drive (4wd),7.0,ford,ranger,2023.0,Ford Ranger XLT 2.0L 4x4 AT 2023,33603.31369,diesel,2.2,0.0,0.58,0.33,0.21,0.5,0.83
4583874,domestic assembly,used car,sedan,1800,black,brown,4,5,f1,automatic,fwd - front-wheel drive,7.0,hyundai,elantra,2022.0,Hyundai Elantra Sport 1.6 AT 2022,28745.00328,petrol,1.6,0.01,0.33,0.33,0.21,0.5,0.71
4585184,imported,new car,sedan,0,white,black,4,5,electronic fuel injection,automatic,fwd - front-wheel drive,9.0,honda,accord,2023.0,Honda Accord 1.5 AT 2023,40485.92011,petrol,1.5,0.0,0.29,0.33,0.21,0.75,1.0
4585226,imported,new car,suv,0,silver,brown,5,7,,automatic,rfd - rear-wheel drive,6.0,isuzu,mu-x,2023.0,Isuzu MU-X Prestige 1.9 4X2 AT 2023,40485.92011,diesel,1.9,0.0,0.46,0.67,0.36,0.38,1.0
4585552,domestic assembly,used car,sedan,56000,silver,grey,4,5,f1,automatic,fwd - front-wheel drive,7.0,hyundai,elantra,2018.0,Hyundai Elantra Sport 1.6 AT 2018,23279.40407,petrol,1.6,0.28,0.33,0.33,0.21,0.5,0.57
4585670,imported,used car,4x4,41000,white,black,4,5,electronic injector,automatic,4wd - four-wheel drive (4wd),8.0,mitsubishi,triton,2019.0,Mitsubishi Triton 4x4 AT Mivec Premium 2019,28542.57368,diesel,2.4,0.21,0.67,0.33,0.21,0.62,0.7
4585964,domestic assembly,new car,crossover,0,white,black,5,5,direct material injection,automatic,fwd - front-wheel drive,6.0,hyundai,tucson,2022.0,Hyundai Tucson 2.0 AT CRDi Special 2022,40485.92011,diesel,2.0,0.0,0.5,0.67,0.21,0.38,1.0
4585968,domestic assembly,new car,crossover,0,red,black,5,5,multi-point fuel injection,automatic,fwd - front-wheel drive,8.0,hyundai,tucson,2022.0,Hyundai Tucson 2.0 AT Special 2022,38664.05371,petrol,2.0,0.0,0.5,0.67,0.21,0.62,0.96
4585980,domestic assembly,new car,suv,0,white,black,5,7,multi-point fuel injection,automatic,fwd - front-wheel drive,9.0,hyundai,santafe,2022.0,Hyundai SantaFe Standard 2.5L 2022,40485.92011,petrol,2.5,0.0,0.71,0.67,0.36,0.75,1.0
4585995,domestic assembly,new car,suv,0,white,brown,5,7,direct material injection,automatic,fwd - front-wheel drive,7.0,hyundai,santafe,2022.0,Hyundai SantaFe Standard 2.2L 2022,40485.92011,diesel,2.2,0.0,0.58,0.67,0.36,0.5,1.0
4586002,imported,new car,crossover,0,white,black,5,5,multi-point fuel injection,automatic,fwd - front-wheel drive,6.0,hyundai,creta,2022.0,Hyundai Creta Special 1.5 AT 2022,27935.28487,petrol,1.5,0.0,0.29,0.67,0.21,0.38,0.69
4586020,imported,new car,crossover,0,red,black,5,5,multi-point fuel injection,automatic,fwd - front-wheel drive,6.0,hyundai,creta,2022.0,Hyundai Creta Premium 1.5 AT 2022,28542.57368,petrol,1.5,0.0,0.29,0.67,0.21,0.38,0.7
